accommodates,bathrooms,bedrooms,beds,price,latitude,longitude,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,property_type,room_type,amenities,neighbourhood_cleansed,city,state,zipcode,market,has_availability,calendar_updated,last_scraped
4,1,1,2,175,30.31156155,-97.74230578,1,1125,0,0,0,233,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials}",78756,Austin,TX,78756,Austin,t,8 months ago,11/7/15
4,1,1,1,89,30.33193258,-97.74268622,2,1125,0,0,19,263,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,today,11/8/15
4,1,2,3,370,30.32451221,-97.73311656,2,6,0,0,0,211,House,Entire home/apt,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",Shampoo}",78756,Austin,TX,78756,Austin,t,8 months ago,11/8/15
6,1.5,3,5,114,30.3293266,-97.73308431,3,365,25,53,83,358,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,today,11/8/15
3,1,0,1,143,30.30648215,-97.74563488,2,90,18,18,18,236,Apartment,Entire home/apt,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,today,11/8/15
4,1,1,2,115,30.33333283,-97.73677521,2,1125,24,54,84,359,House,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,3 weeks ago,11/8/15
4,1,0,2,90,30.31116153,-97.7459681,2,1125,19,49,79,354,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Essentials}",78756,Austin,TX,78756,Austin,t,yesterday,11/8/15
5,2,3,5,180,30.31130863,-97.74018126,1,1125,0,8,8,162,House,Entire home/apt,"{TV,Internet,""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer}",78756,Austin,TX,78756,Austin,t,3 weeks ago,11/8/15
6,1,3,4,180,30.32745594,-97.73294482,2,1125,4,23,53,328,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,today,11/7/15
5,1,1,2,400,30.3096899,-97.74130073,1,2,30,60,90,365,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,13 months ago,11/8/15
4,1,2,3,150,30.32084723,-97.74909344,2,120,29,58,88,363,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78731,Austin,t,yesterday,11/8/15
